Date,Open,High,Low,Close,Adj Close,Volume
2025-01-16,"1,833.00","1,837.95","1,785.30","1,792.25","1,780.25","5,362,008"
2025-01-15,"1,836.00","1,843.55","1,812.55","1,825.70","1,813.48","3,350,594"
2025-01-14,"1,936.10","1,939.00","1,797.75","1,813.55","1,801.41","15,819,311"
2025-01-13,"1,994.90","2,012.20","1,965.40","1,989.40","1,976.08","5,694,121"
2025-01-10,"1,936.00","2,002.35","1,935.25","1,995.10","1,981.74","4,802,079"
2025-01-09,"1,926.80","1,944.45","1,920.00","1,934.80","1,921.85","2,742,139"
2025-01-08,"1,906.30","1,938.50","1,894.55","1,932.25","1,919.31","2,372,138"
2025-01-07,"1,960.00","1,981.00","1,908.90","1,915.90","1,903.07","2,494,547"
2025-01-06,"1,951.25","1,973.40","1,930.00","1,953.05","1,939.97","1,789,037"
2025-01-03,"1,980.00","1,992.10","1,941.00","1,946.65","1,933.62","2,853,344"
2025-01-02,"1,911.95","1,976.30","1,910.05","1,972.20","1,959.00","3,487,645"
2025-01-01,"1,917.40","1,936.95","1,907.90","1,911.95","1,899.15","880,695"
2024-12-31,"1,915.20","1,927.80","1,878.55","1,917.40","1,904.56","1,968,650"
2024-12-30,"1,888.00","1,968.95","1,865.65","1,928.95","1,916.03","6,262,203"
2024-12-27,"1,900.00","1,902.90","1,882.70","1,892.00","1,879.33","1,328,546"
2024-12-26,"1,905.60","1,908.90","1,886.30","1,900.75","1,888.02","1,065,107"
2024-12-24,"1,908.60","1,923.65","1,889.25","1,896.95","1,884.25","1,310,301"
2024-12-23,"1,918.50","1,939.40","1,899.15","1,903.00","1,890.26","2,058,339"
2024-12-20,"1,954.60","1,957.65","1,896.40","1,911.35","1,898.55","3,786,921"
2024-12-19,"1,910.00","1,946.20","1,910.00","1,934.25","1,921.30","1,916,115"
2024-12-18,"1,949.00","1,971.95","1,946.75","1,960.35","1,947.22","3,460,812"
2024-12-17,"1,945.30","1,963.20","1,938.00","1,950.60","1,937.54","1,987,909"
2024-12-16,"1,970.85","1,980.00","1,950.25","1,954.40","1,941.31","1,371,189"
2024-12-13,"1,939.00","1,975.00","1,912.35","1,968.80","1,955.62","2,569,918"
2024-12-12,"1,924.95","1,949.00","1,921.50","1,936.20","1,923.24","2,306,173"
2024-12-11,"1,926.25","1,934.80","1,916.00","1,930.90","1,917.97","1,387,117"
2024-12-10,"1,916.45","1,942.80","1,912.20","1,936.35","1,923.39","2,695,207"
2024-12-09,"1,915.00","1,926.05","1,901.00","1,909.90","1,897.11","1,379,520"
2024-12-06,"1,926.00","1,939.35","1,915.30","1,922.70","1,909.83","2,250,408"
2024-12-05,"1,885.00","1,938.10","1,884.00","1,924.00","1,911.12","3,881,814"
2024-12-04,"1,882.00","1,911.00","1,877.60","1,897.65","1,884.94","3,730,643"
2024-12-03,"1,884.00","1,896.30","1,872.05","1,890.75","1,878.09","2,954,648"
2024-12-02,"1,848.05","1,878.55","1,835.45","1,871.50","1,858.97","2,014,744"
2024-11-29,"1,842.00","1,872.30","1,833.95","1,848.05","1,835.68","2,482,280"
2024-11-28,"1,885.10","1,900.50","1,835.00","1,840.90","1,828.57","3,631,255"
2024-11-27,"1,896.75","1,917.00","1,887.10","1,891.05","1,878.39","1,631,975"
2024-11-26,"1,890.10","1,914.95","1,889.15","1,899.55","1,886.83","2,079,873"
